Series_Title,Released_Year,Runtime,IMDB_Rating,,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,
A Star Is Born,2018,136 min,7.6,,88,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,334312,"215,288,866",
True Grit,2010,110 min,7.6,,80,Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,311822,"171,243,005",
Hævnen,2010,118 min,7.6,,65,Susanne Bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson,38491,"1,008,098",
Despicable Me,2010,95 min,7.6,,72,Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand,500851,"251,513,985",
50/50,2011,100 min,7.6,,72,Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,315426,"35,014,192",
Kick-Ass,2010,117 min,7.6,,66,Matthew Vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,524081,"48,071,303",
Celda 211,2009,113 min,7.6,,,Daniel Monzón,Luis Tosar,Alberto Ammann,Antonio Resines,Manuel Morón,63882,,
Moneyball,2011,133 min,7.6,,87,Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,369529,"75,605,492",
La piel que habito,2011,120 min,7.6,,70,Pedro Almodóvar,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,138959,"3,185,812",
Zombieland,2009,88 min,7.6,,73,Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin,520041,"75,590,286",
Die Welle,2008,107 min,7.6,,,Dennis Gansel,Jürgen Vogel,Frederick Lau,Max Riemelt,Jennifer Ulrich,102742,,
Sherlock Holmes,2009,128 min,7.6,,57,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,583158,"209,028,679",
The Blind Side,2009,129 min,7.6,,53,John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head,293266,"255,959,475",
The Visitor,2007,104 min,7.6,,79,Tom McCarthy,Richard Jenkins,Haaz Sleiman,Danai Gurira,Hiam Abbass,41544,"9,422,422",
Seven Pounds,2008,123 min,7.6,,36,Gabriele Muccino,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy,286770,"69,951,824",
Eastern Promises,2007,100 min,7.6,,82,David Cronenberg,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,Josef Altin,227760,"17,114,882",
Stardust,2007,127 min,7.6,,66,Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,Ian McKellen,255036,"38,634,938",
The Secret of Kells,2009,71 min,7.6,,81,Tomm Moore,Nora Twomey,Evan McGuire,Brendan Gleeson,Mick Lally,31779,"686,383",
Inside Man,2006,129 min,7.6,,76,Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer,339757,"88,513,495",
Gone Baby Gone,2007,114 min,7.6,,72,Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan,250590,"20,300,218",
La Vie En Rose,2007,140 min,7.6,,66,Olivier Dahan,Marion Cotillard,Sylvie Testud,Pascal Greggory,Emmanuelle Seigner,82781,"10,301,706",
Huo Yuan Jia,2006,104 min,7.6,,70,Ronny Yu,Jet Li,Li Sun,Yong Dong,Yun Qu,72863,"24,633,730",
The Illusionist,2006,110 min,7.6,,68,Neil Burger,Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell,354728,"39,868,642",
Dead Man's Shoes,2004,90 min,7.6,,52,Shane Meadows,Paddy Considine,Gary Stretch,Toby Kebbell,Stuart Wolfenden,49728,"6,013",
Harry Potter and the Half-Blood Prince,2009,153 min,7.6,,78,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,474827,"301,959,197",
300,2006,117 min,7.6,,52,Zack Snyder,Gerard Butler,Lena Headey,David Wenham,Dominic West,732876,"210,614,939",
Match Point,2005,124 min,7.6,,72,Woody Allen,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,Matthew Goode,206294,"23,089,926",
Watchmen,2009,162 min,7.6,,56,Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman,500799,"107,509,799",
Lord of War,2005,122 min,7.6,,62,Andrew Niccol,Nicolas Cage,Ethan Hawke,Jared Leto,Bridget Moynahan,294140,"24,149,632",
Saw,2004,103 min,7.6,,46,James Wan,Cary Elwes,Leigh Whannell,Danny Glover,Ken Leung,379020,"56,000,369",
"Synecdoche, New York",2008,124 min,7.6,,67,Charlie Kaufman,Philip Seymour Hoffman,Samantha Morton,Michelle Williams,Catherine Keener,83158,"3,081,925",
Mysterious Skin,2004,105 min,7.6,,73,Gregg Araki,Brady Corbet,Joseph Gordon-Levitt,Elisabeth Shue,Chase Ellison,65939,"697,181",
Jeux d'enfants,2003,93 min,7.6,,45,Yann Samuell,Guillaume Canet,Marion Cotillard,Thibault Verhaeghe,Joséphine Lebas-Joly,67360,"548,707",
Un long dimanche de fiançailles,2004,133 min,7.6,,76,Jean-Pierre Jeunet,Audrey Tautou,Gaspard Ulliel,Jodie Foster,Dominique Pinon,70925,"6,167,817",
The Station Agent,2003,89 min,7.6,,81,Tom McCarthy,Peter Dinklage,Patricia Clarkson,Bobby Cannavale,Paul Benjamin,67370,"5,739,376",
21 Grams,2003,124 min,7.6,,70,Alejandro G. Iñárritu,Sean Penn,Benicio Del Toro,Naomi Watts,Danny Huston,224545,"16,290,476",
Boksuneun naui geot,2002,129 min,7.6,,56,Chan-wook Park,Kang-ho Song,Shin Ha-kyun,Bae Doona,Ji-Eun Lim,62659,"45,289",
Finding Neverland,2004,106 min,7.6,,67,Marc Forster,Johnny Depp,Kate Winslet,Julie Christie,Radha Mitchell,198677,"51,680,613",
25th Hour,2002,135 min,7.6,,68,Spike Lee,Edward Norton,Barry Pepper,Philip Seymour Hoffman,Rosario Dawson,169708,"13,060,843",
The Butterfly Effect,2004,113 min,7.6,,30,Eric Bress,J. Mackye Gruber,Ashton Kutcher,Amy Smart,Melora Walters,451479,"57,938,693",
28 Days Later...,2002,113 min,7.6,,73,Danny Boyle,Cillian Murphy,Naomie Harris,Christopher Eccleston,Alex Palmer,376853,"45,064,915",
Batoru rowaiaru,2000,114 min,7.6,,81,Kinji Fukasaku,Tatsuya Fujiwara,Aki Maeda,Tarô Yamamoto,Takeshi Kitano,169091,,
The Royal Tenenbaums,2001,110 min,7.6,,76,Wes Anderson,Gene Hackman,Gwyneth Paltrow,Anjelica Huston,Ben Stiller,266842,"52,364,010",
Y tu mamá también,2001,106 min,7.6,,88,Alfonso Cuarón,Maribel Verdú,Gael García Bernal,Daniel Giménez Cacho,Ana López Mercado,115827,"13,622,333",
Harry Potter and the Sorcerer's Stone,2001,152 min,7.6,,64,Chris Columbus,Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith,658185,"317,575,550",
The Others,2001,101 min,7.6,,74,Alejandro Amenábar,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Alakina Mann,337651,"96,522,687",
Blow,2001,124 min,7.6,,52,Ted Demme,Johnny Depp,Penélope Cruz,Franka Potente,Rachel Griffiths,240714,"52,990,775",
Enemy at the Gates,2001,131 min,7.6,,53,Jean-Jacques Annaud,Jude Law,Ed Harris,Joseph Fiennes,Rachel Weisz,243729,"51,401,758",
Minority Report,2002,145 min,7.6,,80,Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow,508417,"132,072,926",
The Hurricane,1999,146 min,7.6,,74,Norman Jewison,Denzel Washington,Vicellous Shannon,Deborah Kara Unger,Liev Schreiber,91557,"50,668,906",
American Psycho,2000,101 min,7.6,,64,Mary Harron,Christian Bale,Justin Theroux,Josh Lucas,Bill Sage,490062,"15,070,285",
Lola rennt,1998,81 min,7.6,,77,Tom Tykwer,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Nina Petri,188317,"7,267,585",
The Thin Red Line,1998,170 min,7.6,,78,Terrence Malick,Jim Caviezel,Sean Penn,Nick Nolte,Kirk Acevedo,172710,"36,400,491",
Mulan,1998,88 min,7.6,,71,Tony Bancroft,Barry Cook,Ming-Na Wen,Eddie Murphy,BD Wong,256906,"120,620,254",
Fear and Loathing in Las Vegas,1998,118 min,7.6,,41,Terry Gilliam,Johnny Depp,Benicio Del Toro,Tobey Maguire,Michael Lee Gogin,259753,"10,680,275",
Funny Games,1997,108 min,7.6,,69,Michael Haneke,Susanne Lothar,Ulrich Mühe,Arno Frisch,Frank Giering,65058,,
Dark City,1998,100 min,7.6,,66,Alex Proyas,Rufus Sewell,Kiefer Sutherland,Jennifer Connelly,William Hurt,187927,"14,378,331",
Sleepers,1996,147 min,7.6,,49,Barry Levinson,Robert De Niro,Kevin Bacon,Brad Pitt,Jason Patric,186734,"49,100,000",
Lost Highway,1997,134 min,7.6,,52,David Lynch,Bill Pullman,Patricia Arquette,John Roselius,Louis Eppolito,131101,"3,796,699",
Sense and Sensibility,1995,136 min,7.6,,84,Ang Lee,Emma Thompson,Kate Winslet,James Fleet,Tom Wilkinson,102598,"43,182,776",
Die Hard: With a Vengeance,1995,128 min,7.6,,58,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,364420,"100,012,499",
Dead Man,1995,121 min,7.6,,62,Jim Jarmusch,Johnny Depp,Gary Farmer,Crispin Glover,Lance Henriksen,90442,"1,037,847",
The Bridges of Madison County,1995,135 min,7.6,,69,Clint Eastwood,Clint Eastwood,Meryl Streep,Annie Corley,Victor Slezak,73172,"71,516,617",
Apollo 13,PG,140 min,7.6,,77,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,269197,"173,837,933",
Trois couleurs: Blanc,1994,92 min,7.6,,88,Krzysztof Kieslowski,Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Jerzy Stuhr,64390,"1,464,625",
Falling Down,1993,113 min,7.6,,56,Joel Schumacher,Michael Douglas,Robert Duvall,Barbara Hershey,Rachel Ticotin,171640,"40,903,593",
Dazed and Confused,1993,102 min,7.6,,78,Richard Linklater,Jason London,Wiley Wiggins,Matthew McConaughey,Rory Cochrane,165465,"7,993,039",
My Cousin Vinny,1992,120 min,7.6,,68,Jonathan Lynn,Joe Pesci,Marisa Tomei,Ralph Macchio,Mitchell Whitfield,107325,"52,929,168",
Omohide poro poro,1991,118 min,7.6,,90,Isao Takahata,Miki Imai,Toshirô Yanagiba,Yoko Honna,Mayumi Izuka,27071,"453,243",
Delicatessen,1991,99 min,7.6,,66,Marc Caro,Jean-Pierre Jeunet,Marie-Laure Dougnac,Dominique Pinon,Pascal Benezech,80487,"1,794,187",
Home Alone,1990,103 min,7.6,,63,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,488817,"285,761,243",
The Godfather: Part III,1990,162 min,7.6,,60,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,Talia Shire,359809,"66,666,062",
When Harry Met Sally...,1989,95 min,7.6,,76,Rob Reiner,Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby,195663,"92,823,600",
The Little Mermaid,1989,83 min,7.6,,88,Ron Clements,John Musker,Jodi Benson,Samuel E. Wright,Rene Auberjonois,237696,"111,543,479",
The Naked Gun: From the Files of Police Squad!,1988,85 min,7.6,,76,David Zucker,Leslie Nielsen,Priscilla Presley,O.J. Simpson,Ricardo Montalban,152871,"78,756,177",
"Planes, Trains & Automobiles",1987,93 min,7.6,,72,John Hughes,Steve Martin,John Candy,Laila Robins,Michael McKean,124773,"49,530,280",
Lethal Weapon,1987,109 min,7.6,,68,Richard Donner,Mel Gibson,Danny Glover,Gary Busey,Mitchell Ryan,236894,"65,207,127",
Blood Simple,1984,99 min,7.6,,82,Joel Coen,Ethan Coen,John Getz,Frances McDormand,Dan Hedaya,87745,"2,150,000",
On Golden Pond,1981,109 min,7.6,,68,Mark Rydell,Katharine Hepburn,Henry Fonda,Jane Fonda,Doug McKeon,27650,"119,285,432",
Mad Max 2,1981,96 min,7.6,,77,George Miller,Mel Gibson,Bruce Spence,Michael Preston,Max Phipps,166588,"12,465,371",
The Warriors,1979,92 min,7.6,,65,Walter Hill,Michael Beck,James Remar,Dorsey Wright,Brian Tyler,93878,"22,490,039",
The Muppet Movie,1979,95 min,7.6,,74,James Frawley,Jim Henson,Frank Oz,Jerry Nelson,Richard Hunt,32802,"76,657,000",
Escape from Alcatraz,1979,112 min,7.6,,76,Don Siegel,Clint Eastwood,Patrick McGoohan,Roberts Blossom,Jack Thibeau,121731,"43,000,000",
Watership Down,1978,91 min,7.6,,64,Martin Rosen,John Hubley,John Hurt,Richard Briers,Ralph Richardson,33656,,
Midnight Express,1978,121 min,7.6,,59,Alan Parker,Brad Davis,Irene Miracle,Bo Hopkins,Paolo Bonacelli,73662,"35,000,000",
Close Encounters of the Third Kind,1977,138 min,7.6,,90,Steven Spielberg,Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,184966,"132,088,635",
The Long Goodbye,1973,112 min,7.6,,87,Robert Altman,Elliott Gould,Nina van Pallandt,Sterling Hayden,Mark Rydell,26337,959,
Giù la testa,1971,157 min,7.6,,77,Sergio Leone,Rod Steiger,James Coburn,Romolo Valli,Maria Monti,30144,"696,69",
Kelly's Heroes,1970,144 min,7.6,,50,Brian G. Hutton,Clint Eastwood,Telly Savalas,Don Rickles,Carroll O'Connor,45338,"1,378,435",
The Jungle Book,1967,78 min,7.6,,65,Wolfgang Reitherman,Phil Harris,Sebastian Cabot,Louis Prima,Bruce Reitherman,166409,"141,843,612",
Blowup,1966,111 min,7.6,,82,Michelangelo Antonioni,David Hemmings,Vanessa Redgrave,Sarah Miles,John Castle,56513,,
A Hard Day's Night,1964,87 min,7.6,,96,Richard Lester,John Lennon,Paul McCartney,George Harrison,Ringo Starr,40351,"13,780,024",
Breakfast at Tiffany's,1961,115 min,7.6,,76,Blake Edwards,Audrey Hepburn,George Peppard,Patricia Neal,Buddy Ebsen,166544,,
Giant,1956,201 min,7.6,,84,George Stevens,Elizabeth Taylor,Rock Hudson,James Dean,Carroll Baker,34075,,
From Here to Eternity,1953,118 min,7.6,,85,Fred Zinnemann,Burt Lancaster,Montgomery Clift,Deborah Kerr,Donna Reed,43374,"30,500,000",
Lifeboat,1944,97 min,7.6,,78,Alfred Hitchcock,Tallulah Bankhead,John Hodiak,Walter Slezak,William Bendix,26471,,
The 39 Steps,1935,86 min,7.6,,93,Alfred Hitchcock,Robert Donat,Madeleine Carroll,Lucie Mannheim,Godfrey Tearle,51853,,
